item_name,variation,raw_category,category_group,units_sold,revenue,net_sales,gross_sales,avg_unit_price,est_cost_pct,est_margin
Blueberry Muffin,Regular,Uncategorised,Food,1.0,2.92,2.92,3.5,2.92,0.3,2.044
Plain Croissant,Regular,Uncategorised,Food,3.0,7.5,7.5,9.0,2.5,0.3,1.75
Aperol Spritz,Regular,Aperitifs,Drink,13.0,102.93,102.93,123.5,7.917692307692308,0.22,6.175800000000001
Peach Bellini,Regular,Aperitifs,Drink,4.0,30.0,30.0,36.0,7.5,0.22,5.8500000000000005
Pimms Spritz,Regular,Aperitifs,Drink,1.0,7.92,7.92,9.5,7.92,0.22,6.1776
Prosecco Royal,Regular,Aperitifs,Drink,1.0,7.5,7.5,9.0,7.5,0.22,5.8500000000000005
Kopparberg Strawberry & Lime Cider,Regular,Beers & Ciders,Drink,4.0,21.68,21.68,26.0,5.42,0.22,4.2276
Peroni,33cl,Beers & Ciders,Drink,22.0,109.78,105.76,126.88,4.99,0.22,3.8922000000000003
Peroni 0%,Regular,Beers & Ciders,Drink,6.0,26.26,26.26,31.5,4.376666666666667,0.22,3.4138
Peroni Draft,1/2 Pint,Beers & Ciders,Drink,30.0,123.69,123.69,148.5,4.123,0.22,3.2159400000000002
Peroni Draft,Pint,Beers & Ciders,Drink,170.0,1064.2,1054.08,1264.88,6.260000000000001,0.22,4.8828000000000005
Avocado,Sliced,Breakfast Extra,Food,2.0,6.67,6.67,8.0,3.335,0.3,2.3345
Bacon,Bacon,Breakfast Extra,Food,2.0,4.16,4.16,5.0,2.08,0.3,1.456
Bacon,Turkey,Breakfast Extra,Food,1.0,2.08,2.08,2.5,2.08,0.3,1.456
Egg,Regular,Breakfast Extra,Food,7.0,11.67,11.67,14.0,1.667142857142857,0.3,1.1669999999999998
Feta,Regular,Breakfast Extra,Food,13.0,21.66,21.66,26.0,1.666153846153846,0.3,1.1663076923076923
Halloumi,Regular,Breakfast Extra,Food,6.0,12.48,12.48,15.0,2.08,0.3,1.456
Hashbrowm,Regular,Breakfast Extra,Food,1.0,2.08,2.08,2.5,2.08,0.3,1.456
Jam,Regular,Breakfast Extra,Food,12.0,8.03,8.03,9.6,0.6691666666666666,0.3,0.4684166666666666
Mushrooms,Regular,Breakfast Extra,Food,1.0,1.67,1.67,2.0,1.67,0.3,1.1689999999999998
Prosciutto Ham,Regular,Breakfast Extra,Food,4.0,10.0,10.0,12.0,2.5,0.3,1.75
Red Onion,Regular,Breakfast Extra,Food,1.0,1.25,1.25,1.5,1.25,0.3,0.875
Sausage,Beef,Breakfast Extra,Food,5.0,8.34,8.34,10.0,1.668,0.3,1.1676
Sausage,Pork,Breakfast Extra,Food,3.0,5.01,5.01,6.0,1.67,0.3,1.1689999999999998
Small Fruit Bowl,Regular,Breakfast Extra,Food,1.0,3.33,3.33,4.0,3.33,0.3,2.331
Smoked Salmon,Regular,Breakfast Extra,Food,1.0,4.17,4.17,5.0,4.17,0.3,2.9189999999999996
Toast,Regular,Breakfast Extra,Food,7.0,11.68,10.01,12.0,1.6685714285714286,0.3,1.168
Almond Croissant,Regular,Breakfast Menu,Food,13.0,34.7,34.7,41.6,2.6692307692307695,0.3,1.8684615384615386
Blueberry Muffin,Regular,Breakfast Menu,Food,4.0,11.67,11.67,14.0,2.9175,0.3,2.0422499999999997
Chocolate Croissant,Regular,Breakfast Menu,Food,9.0,24.02,24.02,28.8,2.6688888888888886,0.3,1.868222222222222
Chocolate Muffin,Regular,Breakfast Menu,Food,1.0,3.01,2.48,2.97,3.01,0.3,2.1069999999999998
Plain Croissant,Regular,Breakfast Menu,Food,17.0,42.58,42.13,50.55,2.504705882352941,0.3,1.7532941176470584
Brioche French Toast,Regular,Breakfast Sweets,Food,8.0,98.4,98.4,118.1,12.3,0.3,8.61
Fruit Porridge,Regular,Breakfast Sweets,Food,15.0,118.75,118.75,142.5,7.916666666666667,0.3,5.541666666666667
Pancakes,Regular,Breakfast Sweets,Food,18.0,209.24,209.24,251.1,11.624444444444444,0.3,8.13711111111111
Plain Porridge,Regular,Breakfast Sweets,Food,1.0,6.25,6.25,7.5,6.25,0.3,4.375
Super Berry Granola,Regular,Breakfast Sweets,Food,37.0,323.74,306.24,367.5,8.74972972972973,0.3,6.124810810810811
Angus,Regular,Burford Browns Eggs,Food,3.0,41.66,41.66,50.0,13.886666666666665,0.3,9.720666666666665
Benedict,Regular,Burford Browns Eggs,Food,11.0,118.69,118.69,142.45,10.79,0.3,7.552999999999999
Eggs on Toast,Regular,Burford Browns Eggs,Food,194.0,1867.08,1865.29,2238.31,9.624123711340205,0.3,6.736886597938144
Florentine,Regular,Burford Browns Eggs,Food,15.0,159.56,159.56,191.5,10.637333333333334,0.3,7.446133333333333
Funghi (Breakfast),Regular,Burford Browns Eggs,Food,17.0,184.17,184.17,221.0,10.833529411764705,0.3,7.583470588235293
Royal,Regular,Burford Browns Eggs,Food,25.0,323.58,323.58,388.25,12.9432,0.3,9.060239999999999
Smashed Avocado,Regular,Burford Browns Eggs,Food,78.0,897.13,891.9,1070.37,11.501666666666667,0.3,8.051166666666667
Yoghurt Eggs,Regular,Burford Browns Eggs,Food,12.0,135.02,124.6,149.5,11.251666666666667,0.3,7.876166666666666
Prosecco DOC,125ml,Champagne / Sparkling,Drink,5.0,35.41,35.41,42.5,7.081999999999999,0.22,5.52396
