date,dow_name,covers,revenue,orders,avg_spend_per_cover
2025-08-12,Tuesday,61,2818.5,24,46.2
2025-08-13,Wednesday,78,3454.5,29,44.29
2025-08-14,Thursday,69,2949.5,27,42.75
2025-08-15,Friday,114,4562.5,41,40.02
2025-08-16,Saturday,136,5821.0,54,42.8
2025-08-17,Sunday,106,4432.5,38,41.82
2025-08-19,Tuesday,61,2884.5,21,47.29
2025-08-20,Wednesday,68,2887.5,22,42.46
2025-08-21,Thursday,83,3540.0,27,42.65
2025-08-22,Friday,113,4850.0,45,42.92
2025-08-23,Saturday,127,5465.0,42,43.03
2025-08-24,Sunday,103,4249.5,34,41.26
2025-08-26,Tuesday,67,3026.0,26,45.16
2025-08-27,Wednesday,75,3116.5,26,41.55
2025-08-28,Thursday,75,3334.0,32,44.45
2025-08-29,Friday,127,5353.0,55,42.15
2025-08-30,Saturday,122,5243.0,40,42.98
2025-08-31,Sunday,105,4272.0,39,40.69
2025-09-02,Tuesday,61,2494.0,23,40.89
2025-09-03,Wednesday,70,2627.5,28,37.54
2025-09-04,Thursday,80,4075.0,27,50.94
2025-09-05,Friday,115,5172.0,39,44.97
2025-09-06,Saturday,116,5092.5,45,43.9
2025-09-07,Sunday,88,3899.0,33,44.31
2025-09-09,Tuesday,67,2608.0,28,38.93
2025-09-10,Wednesday,71,3062.5,28,43.13
2025-09-11,Thursday,71,2809.5,26,39.57
2025-09-12,Friday,117,5415.0,42,46.28
2025-09-13,Saturday,125,5023.5,47,40.19
2025-09-14,Sunday,95,4145.5,30,43.64
2025-09-16,Tuesday,54,2355.0,19,43.61
2025-09-17,Wednesday,69,2847.0,19,41.26
2025-09-18,Thursday,81,3578.0,28,44.17
2025-09-19,Friday,112,4999.0,42,44.63
2025-09-20,Saturday,127,5781.0,49,45.52
2025-09-21,Sunday,91,3872.5,35,42.55
2025-09-23,Tuesday,61,2397.0,24,39.3
2025-09-24,Wednesday,68,2815.5,25,41.4
2025-09-25,Thursday,80,3719.0,26,46.49
2025-09-26,Friday,114,4981.5,42,43.7
2025-09-27,Saturday,111,4431.5,41,39.92
2025-09-28,Sunday,84,3662.5,34,43.6
2025-09-30,Tuesday,58,2789.5,22,48.09
2025-10-01,Wednesday,74,3533.5,31,47.75
2025-10-02,Thursday,80,3031.0,29,37.89
2025-10-03,Friday,106,4377.5,39,41.3
2025-10-04,Saturday,129,5102.5,50,39.55
2025-10-05,Sunday,97,4163.0,33,42.92
2025-10-07,Tuesday,54,2229.0,23,41.28
2025-10-08,Wednesday,66,3125.0,29,47.35
2025-10-09,Thursday,78,3216.5,30,41.24
2025-10-10,Friday,115,4852.0,41,42.19
2025-10-11,Saturday,130,5539.5,50,42.61
2025-10-12,Sunday,99,3968.5,42,40.09
2025-10-14,Tuesday,59,2825.0,24,47.88
2025-10-15,Wednesday,62,2674.5,23,43.14
2025-10-16,Thursday,68,3065.0,24,45.07
2025-10-17,Friday,111,4939.5,42,44.5
2025-10-18,Saturday,125,4958.5,46,39.67
2025-10-19,Sunday,119,5120.0,44,43.03
2025-10-21,Tuesday,58,1926.0,22,33.21
2025-10-22,Wednesday,65,3059.0,23,47.06
2025-10-23,Thursday,72,3029.5,28,42.08
2025-10-24,Friday,109,4746.0,38,43.54
2025-10-25,Saturday,124,5434.5,43,43.83
2025-10-26,Sunday,86,3835.5,31,44.6
2025-10-28,Tuesday,69,2645.0,25,38.33
2025-10-29,Wednesday,73,3182.5,27,43.6
2025-10-30,Thursday,69,3175.5,27,46.02
2025-10-31,Friday,105,4903.0,36,46.7
2025-11-01,Saturday,124,6120.5,44,49.36
2025-11-02,Sunday,96,4301.0,35,44.8
2025-11-04,Tuesday,60,2494.5,22,41.58
2025-11-05,Wednesday,67,2415.0,24,36.04
2025-11-06,Thursday,67,2941.0,24,43.9
2025-11-07,Friday,106,4372.5,37,41.25
2025-11-08,Saturday,122,5237.0,45,42.93
2025-11-09,Sunday,97,3936.5,35,40.58
2025-11-11,Tuesday,63,2516.5,25,39.94
2025-11-12,Wednesday,74,3152.0,25,42.59
2025-11-13,Thursday,69,3016.5,21,43.72
2025-11-14,Friday,116,4768.5,41,41.11
2025-11-15,Saturday,120,5137.0,39,42.81
2025-11-16,Sunday,83,4086.0,30,49.23
2025-11-18,Tuesday,59,2905.5,20,49.25
2025-11-19,Wednesday,66,3150.5,25,47.73
2025-11-20,Thursday,82,3706.0,32,45.2
2025-11-21,Friday,111,5299.0,42,47.74
2025-11-22,Saturday,114,4570.0,43,40.09
2025-11-23,Sunday,86,3502.0,31,40.72
2025-11-25,Tuesday,56,2353.5,21,42.03
2025-11-26,Wednesday,64,2666.5,27,41.66
2025-11-27,Thursday,79,3825.0,29,48.42
2025-11-28,Friday,119,5801.0,41,48.75
2025-11-29,Saturday,118,5197.5,45,44.05
2025-11-30,Sunday,85,3199.0,31,37.64
2025-12-02,Tuesday,77,3010.0,27,39.09
2025-12-03,Wednesday,101,4292.0,36,42.5
2025-12-04,Thursday,89,3902.5,32,43.85
2025-12-05,Friday,126,5328.0,43,42.29
2025-12-06,Saturday,151,6670.0,51,44.17
2025-12-07,Sunday,105,4336.0,38,41.3
2025-12-09,Tuesday,70,2368.0,25,33.83
2025-12-10,Wednesday,81,3456.5,28,42.67
2025-12-11,Thursday,79,3264.5,30,41.32
2025-12-12,Friday,133,6261.5,46,47.08
2025-12-13,Saturday,188,8086.0,65,43.01
2025-12-14,Sunday,116,5692.5,44,49.07
2025-12-16,Tuesday,74,3059.0,28,41.34
2025-12-17,Wednesday,88,4124.0,30,46.86
2025-12-18,Thursday,93,3971.5,38,42.7
2025-12-19,Friday,124,5326.0,42,42.95
2025-12-20,Saturday,154,6682.0,56,43.39
2025-12-21,Sunday,124,5659.5,44,45.64
2025-12-23,Tuesday,77,3124.5,27,40.58
2025-12-24,Wednesday,113,5638.63,41,49.9
2025-12-27,Saturday,152,6339.0,56,41.7
2025-12-28,Sunday,135,5700.5,46,42.23
2025-12-30,Tuesday,72,3254.0,26,45.19
2025-12-31,Wednesday,165,9732.02,64,58.98
2026-01-02,Friday,82,3791.5,32,46.24
2026-01-03,Saturday,94,4104.5,36,43.66
2026-01-04,Sunday,68,2848.0,25,41.88
2026-01-06,Tuesday,43,1757.0,19,40.86
2026-01-07,Wednesday,48,2138.5,18,44.55
2026-01-08,Thursday,61,2763.5,24,45.3
2026-01-09,Friday,73,3291.0,29,45.08
2026-01-10,Saturday,88,3757.0,32,42.69
2026-01-11,Sunday,76,2838.0,25,37.34
2026-01-13,Tuesday,45,2086.0,19,46.36
2026-01-14,Wednesday,48,1974.5,18,41.14
2026-01-15,Thursday,53,2386.0,16,45.02
2026-01-16,Friday,87,3511.0,38,40.36
2026-01-17,Saturday,97,4142.0,35,42.7
2026-01-18,Sunday,72,3202.5,23,44.48
2026-01-20,Tuesday,45,1906.0,16,42.36
2026-01-21,Wednesday,51,2313.5,18,45.36
2026-01-22,Thursday,56,2668.0,23,47.64
2026-01-23,Friday,86,3494.5,30,40.63
2026-01-24,Saturday,98,4346.5,36,44.35
2026-01-25,Sunday,62,2171.0,25,35.02
