order_id,item_id,item_name,category,quantity,unit_price,line_total
1,M012,Pan-Seared Dover Sole,Main,1,29.0,29.0
1,M018,Triple-Cooked Chips,Side,1,5.5,5.5
1,M026,House Red / White (glass),Drink,1,8.0,8.0
2,M016,Brasserie Moussaka,Main,1,17.5,17.5
2,M022,Baklava Cheesecake,Dessert,1,8.5,8.5
2,M032,Coffee,Drink,1,3.5,3.5
2,M028,Aperol Spritz,Drink,1,10.5,10.5
3,M002,"Grilled Octopus, Salsa Verde",Starter,2,12.5,25.0
3,M003,King Prawn Saganaki,Starter,1,11.0,11.0
3,M011,Whole Grilled Sea Bass,Main,1,26.0,26.0
3,M026,House Red / White (glass),Drink,3,8.0,24.0
3,M030,Espresso Martini,Drink,1,11.5,11.5
3,M029,Craft Beer,Drink,1,6.5,6.5
3,M032,Coffee,Drink,1,3.5,3.5
4,M009,"Slow-Cooked Ox Cheek, Celeriac",Main,1,22.0,22.0
4,M008,"Lamb Chops, Salsa Verde",Main,1,24.0,24.0
4,M013,Corn-Fed Chicken Supreme,Main,1,19.5,19.5
4,M029,Craft Beer,Drink,1,6.5,6.5
5,M004,Ox Cheek Croquettes,Starter,1,9.5,9.5
5,M005,"Burrata, Heritage Tomato",Starter,1,10.5,10.5
5,M008,"Lamb Chops, Salsa Verde",Main,1,24.0,24.0
5,M015,Wild Mushroom Risotto (v),Main,1,16.5,16.5
5,M013,Corn-Fed Chicken Supreme,Main,1,19.5,19.5
5,M011,Whole Grilled Sea Bass,Main,1,26.0,26.0
5,M024,Citrus Olive Oil Cake,Dessert,1,7.5,7.5
5,M026,House Red / White (glass),Drink,1,8.0,8.0
5,M032,Coffee,Drink,1,3.5,3.5
6,M001,Whipped Feta & Hot Honey,Starter,2,8.5,17.0
6,M004,Ox Cheek Croquettes,Starter,1,9.5,9.5
6,M007,"Charred Flatbread, Tzatziki",Starter,1,6.5,6.5
6,M006,"Soupe de Poisson, Rouille",Starter,1,8.0,8.0
6,M005,"Burrata, Heritage Tomato",Starter,1,10.5,10.5
6,M017,"Signature Burger, Aged Cheddar",Main,1,16.0,16.0
6,M011,Whole Grilled Sea Bass,Main,1,26.0,26.0
6,M019,Greek Salad,Side,2,5.5,11.0
6,M018,Triple-Cooked Chips,Side,1,5.5,5.5
6,M023,Dark Chocolate Fondant,Dessert,2,9.0,18.0
6,M022,Baklava Cheesecake,Dessert,1,8.5,8.5
6,M026,House Red / White (glass),Drink,2,8.0,16.0
6,M031,Soft Drink / Juice,Drink,1,3.5,3.5
6,M032,Coffee,Drink,1,3.5,3.5
6,M027,Negroni,Drink,1,11.0,11.0
7,M009,"Slow-Cooked Ox Cheek, Celeriac",Main,1,22.0,22.0
