order_id,date,day_part,hour,time,party_size,service_type,event_name,revenue
1,2025-08-12,Dinner,20,20:24,2,Dine-in,,42.5
2,2025-08-12,Dinner,17,17:58,1,Dine-in,,40.0
3,2025-08-12,Dinner,21,21:41,3,Dine-in,,107.5
4,2025-08-12,Dinner,21,21:43,1,Dine-in,,72.0
5,2025-08-12,Dinner,21,21:12,2,Dine-in,,125.0
6,2025-08-12,Dinner,18,18:24,5,Dine-in,,170.5
7,2025-08-12,Dinner,19,19:29,2,Dine-in,,189.0
8,2025-08-12,Dinner,20,20:46,4,Dine-in,,163.5
9,2025-08-12,Dinner,18,18:00,1,Takeaway,,58.5
10,2025-08-12,Dinner,20,20:08,4,Dine-in,,112.5
11,2025-08-12,Dinner,21,21:42,4,Dine-in,,200.5
12,2025-08-12,Dinner,19,19:48,2,Dine-in,,103.0
13,2025-08-12,Dinner,21,21:39,4,Dine-in,,222.0
14,2025-08-12,Dinner,19,19:17,2,Dine-in,,36.5
15,2025-08-12,Dinner,19,19:00,3,Dine-in,,112.5
16,2025-08-12,Lunch,12,12:24,2,Takeaway,,121.0
17,2025-08-12,Lunch,13,13:14,3,Dine-in,,225.5
18,2025-08-12,Lunch,12,12:35,3,Dine-in,,91.5
19,2025-08-12,Lunch,14,14:04,4,Dine-in,,281.0
20,2025-08-12,Lunch,12,12:35,2,Dine-in,,108.0
21,2025-08-12,Lunch,12,12:44,3,Dine-in,,116.0
22,2025-08-12,Lunch,13,13:42,2,Dine-in,,19.5
23,2025-08-12,Lunch,13,13:47,1,Takeaway,,30.5
24,2025-08-12,Lunch,12,12:19,1,Dine-in,,70.0
25,2025-08-13,Dinner,21,21:01,4,Takeaway,,214.0
26,2025-08-13,Dinner,20,20:09,2,Dine-in,,155.0
27,2025-08-13,Dinner,19,19:21,2,Takeaway,,45.5
28,2025-08-13,Dinner,21,21:08,3,Dine-in,,178.5
29,2025-08-13,Dinner,19,19:50,2,Dine-in,,112.5
30,2025-08-13,Dinner,18,18:30,2,Dine-in,,202.0
31,2025-08-13,Dinner,21,21:32,1,Dine-in,,28.0
