date,dow,day_part,event_name,covers,staff_foh,staff_boh,labor_cost,revenue,labor_pct,covers_per_foh
2025-08-12,1,Dinner,,40,4,4,384.0,1755.5,0.219,10.0
2025-08-12,1,Lunch,,21,3,2,117.75,1063.0,0.111,7.0
2025-08-13,2,Dinner,,54,6,5,261.75,2370.5,0.11,9.0
2025-08-13,2,Lunch,,24,3,2,235.5,1084.0,0.217,8.0
2025-08-14,3,Dinner,,48,5,4,427.5,2207.5,0.194,9.6
2025-08-14,3,Lunch,,21,3,2,117.75,742.0,0.159,7.0
2025-08-15,4,Dinner,,71,8,6,663.0,2811.5,0.236,8.88
2025-08-15,4,Late,,9,2,2,192.0,392.5,0.489,4.5
2025-08-15,4,Lunch,,34,4,3,497.25,1358.5,0.366,8.5
2025-08-16,5,Dinner,,90,9,7,379.5,3843.0,0.099,10.0
2025-08-16,5,Late,,11,2,2,192.0,490.5,0.391,5.5
2025-08-16,5,Lunch,,35,4,3,331.5,1487.5,0.223,8.75
2025-08-17,6,Dinner,,75,8,6,994.5,3178.0,0.313,9.38
2025-08-17,6,Lunch,,31,4,3,331.5,1254.5,0.264,7.75
2025-08-19,1,Dinner,,40,4,4,576.0,1766.5,0.326,10.0
2025-08-19,1,Lunch,,21,3,2,235.5,1118.0,0.211,7.0
2025-08-20,2,Dinner,,44,6,5,523.5,1761.5,0.297,7.33
2025-08-20,2,Lunch,,24,3,2,353.25,1126.0,0.314,8.0
2025-08-21,3,Dinner,,55,5,4,641.25,2404.5,0.267,11.0
2025-08-21,3,Lunch,,28,3,2,235.5,1135.5,0.207,9.33
2025-08-22,4,Dinner,,69,8,6,994.5,2704.5,0.368,8.62
2025-08-22,4,Late,,11,2,2,288.0,510.5,0.564,5.5
2025-08-22,4,Lunch,,33,4,3,331.5,1635.0,0.203,8.25
2025-08-23,5,Dinner,,79,9,7,759.0,2929.5,0.259,8.78
2025-08-23,5,Late,,10,2,2,288.0,324.0,0.889,5.0
2025-08-23,5,Lunch,,38,4,3,497.25,2211.5,0.225,9.5
2025-08-24,6,Dinner,,70,8,6,331.5,2830.0,0.117,8.75
2025-08-24,6,Lunch,,33,4,3,497.25,1419.5,0.35,8.25
2025-08-26,1,Dinner,,46,4,4,384.0,1841.5,0.209,11.5
2025-08-26,1,Lunch,,21,3,2,353.25,1184.5,0.298,7.0
2025-08-27,2,Dinner,,47,5,4,641.25,2002.5,0.32,9.4
2025-08-27,2,Lunch,,28,3,2,235.5,1114.0,0.211,9.33
2025-08-28,3,Dinner,,51,6,4,471.0,2112.0,0.223,8.5
2025-08-28,3,Lunch,,24,3,2,353.25,1222.0,0.289,8.0
2025-08-29,4,Dinner,,82,7,6,309.75,3479.0,0.089,11.71
2025-08-29,4,Late,,9,2,2,192.0,449.5,0.427,4.5
2025-08-29,4,Lunch,,36,4,3,497.25,1424.5,0.349,9.0
2025-08-30,5,Dinner,,76,9,7,1138.5,3229.5,0.353,8.44
2025-08-30,5,Late,,11,2,2,192.0,453.5,0.423,5.5
2025-08-30,5,Lunch,,35,4,3,331.5,1560.0,0.212,8.75
2025-08-31,6,Dinner,,71,8,6,663.0,2918.0,0.227,8.88
2025-08-31,6,Lunch,,34,4,3,165.75,1354.0,0.122,8.5
2025-09-02,1,Dinner,,43,5,4,641.25,1745.5,0.367,8.6
